client_id,intake_number,program,intake_date,exit_date,completed_program,employment_outcome,first_nations,language_other_than_english,referral_source,shelter_partner,support_worker_id,consent_data_sharing,pwi_life_overall_baseline,pwi_life_overall_3mo,pwi_life_overall_6mo,pwi_standard_of_living_baseline,pwi_standard_of_living_3mo,pwi_standard_of_living_6mo,pwi_health_baseline,pwi_health_3mo,pwi_health_6mo,pwi_achieving_in_life_baseline,pwi_achieving_in_life_3mo,pwi_achieving_in_life_6mo,pwi_personal_relationships_baseline,pwi_personal_relationships_3mo,pwi_personal_relationships_6mo,pwi_safety_baseline,pwi_safety_3mo,pwi_safety_6mo,pwi_community_baseline,pwi_community_3mo,pwi_community_6mo,pwi_future_security_baseline,pwi_future_security_3mo,pwi_future_security_6mo,financial_worry_baseline,financial_worry_3mo,financial_worry_6mo,self_confidence_baseline,self_confidence_3mo,self_confidence_6mo,voice_agency_baseline,voice_agency_3mo,voice_agency_6mo,work_readiness_baseline,work_readiness_3mo,work_readiness_6mo,career_confidence_baseline,career_confidence_3mo,career_confidence_6mo,skills_awareness_baseline,skills_awareness_3mo,skills_awareness_6mo,hours_worked,wages_paid,meals_donated,good_things_donated
TG-018,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Darlo,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-04,TRUE,4,7,9,3,7,9,5,9,9,1,7,9,5,6,8,7,8,9,2,8,8,1,7,9,1,3,4,3,4,4,3,5,4,5,5,4,5,8,8,6,8,8,490,14700,300,27
TG-019,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Darlo,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-03,TRUE,3,4,8,2,7,9,7,9,10,2,9,9,1,9,10,6,8,8,1,9,9,2,8,9,1,2,3,1,2,4,1,3,4,2,4,5,4,8,9,4,8,9,500,15000,308,28
TG-020,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-05,TRUE,6,6,8,5,6,9,6,6,7,5,7,9,5,6,9,6,6,9,6,7,8,5,7,9,1,3,4,2,3,4,3,4,3,2,5,5,5,7,8,5,8,9,460,13800,282,24
TG-021,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-04,TRUE,2,4,6,3,7,9,5,5,7,7,7,9,1,2,5,7,4,5,1,4,5,2,3,5,2,3,4,1,2,3,1,2,2,2,5,5,5,5,7,3,5,7,440,13200,270,23
TG-022,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-05,TRUE,3,8,8,4,7,6,7,7,8,5,6,7,5,6,8,6,7,8,3,5,7,1,7,6,2,3,3,3,3,4,3,3,5,3,3,4,5,6,8,5,6,8,455,13650,279,24
TG-023,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-04,TRUE,2,5,8,1,9,9,7,2,8,2,9,9,3,9,9,9,8,10,2,7,9,1,6,9,1,3,9,2,5,3,4,5,5,5,5,5,3,8,,3,8,,470,14100,288,26
TG-024,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-03,TRUE,3,8,8,4,7,6,7,7,8,5,6,7,5,6,8,6,7,8,3,5,7,1,7,6,2,3,3,3,3,4,3,3,5,3,3,4,5,6,8,5,6,8,480,14400,294,26
TG-025,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-05,TRUE,2,5,8,1,9,9,7,2,8,2,9,9,3,9,9,9,8,10,2,7,9,1,6,9,1,3,4,2,5,3,4,5,5,5,5,5,3,8,,3,8,,495,14850,303,27
TG-026,26,WWE,2026-01-05,,FALSE,,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-05,TRUE,2,7,,2,8,,9,7,,3,8,,5,9,,7,8,,3,7,,1,9,,2,4,,3,5,,3,3,,2,3,,4,8,,4,8,280,,172,14
TG-027,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-05,TRUE,3,7,,2,6,,6,8,,6,8,,3,7,,9,9,,5,8,,2,7,,2,2,,1,2,,2,3,,2,4,,4,7,,4,7,275,,168,13
TG-028,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-05,TRUE,5,7,,4,8,,4,6,,5,7,,6,9,,4,7,,4,8,,3,7,,2,3,,3,3,,4,4,,2,4,,5,7,,5,8,260,,159,12
TG-029,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-06,TRUE,6,8,,5,7,,4,7,,5,6,,6,8,,5,9,,6,8,,3,7,,2,3,,3,3,,4,4,,2,4,,4,7,,4,7,265,,162,13
TG-030,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Newtown_Neighbourhood,SW-06,TRUE,4,8,,6,8,,6,7,,2,7,,5,8,,8,9,,4,6,,2,4,,1,1,,3,3,,5,4,,2,4,,3,8,,4,7,270,,165,13
TG-031,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Community_Referral,Jarrah_House,SW-05,TRUE,2,7,,4,5,,3,4,,2,6,,4,7,,3,8,,3,7,,2,6,,1,2,,2,2,,2,4,,2,4,,5,6,,5,6,255,,156,12
TG-032,26,WWE,2026-01-05,,FALSE,,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-06,TRUE,5,7,,4,7,,4,3,,7,5,,7,6,,10,10,,4,6,,4,6,,1,1,,3,2,,3,3,,3,4,,4,10,,4,10,258,,158,12
TG-033,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Newtown_Neighbourhood,SW-06,TRUE,4,7,,4,7,,7,7,,5,7,,7,8,,4,8,,6,8,,2,6,,1,3,,3,4,,4,4,,3,5,,4,8,,4,8,262,,160,13
TG-034,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-05,TRUE,3,5,,2,5,,4,5,,2,6,,5,6,,9,10,,2,6,,1,5,,1,2,,2,3,,2,2,,4,3,,4,6,,4,5,248,,152,12
TG-035,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-06,TRUE,5,8,,6,8,,6,8,,7,9,,7,9,,10,10,,6,8,,5,7,,2,3,,3,3,,4,4,,3,5,,5,8,,5,9,268,,164,13
TG-036,26,WWE,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-05,TRUE,2,7,,4,7,,3,4,,2,6,,4,7,,3,8,,3,7,,2,6,,1,2,,2,2,,2,4,,2,4,,5,6,,5,6,240,,147,11
TG-037,23,WWD,2024-07-01,2025-01-01,TRUE,Employment_Darlo,FALSE,FALSE,Shelter_Referral,Yirranma_Place,SW-07,TRUE,3,6,8,2,7,8,4,6,7,3,7,8,4,7,8,3,7,8,2,6,8,2,6,8,2,3,4,2,3,4,2,4,4,2,4,5,4,7,8,4,7,8,490,14700,300,27
TG-038,23,WWD,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Yirranma_Place,SW-07,TRUE,2,7,9,3,7,9,3,8,9,2,8,9,3,8,9,2,9,9,2,7,9,1,7,9,1,2,3,2,3,4,2,3,4,1,4,5,5,7,9,5,7,9,505,15150,310,28
TG-039,24,WWD,2025-01-06,2025-07-06,TRUE,Employment_Darlo,TRUE,FALSE,Shelter_Referral,Yirranma_Place,SW-08,TRUE,1,6,9,2,7,9,4,6,8,2,7,9,3,7,8,2,8,9,1,6,9,1,6,8,1,2,4,1,3,4,2,3,5,1,3,5,4,7,9,4,7,9,520,15600,318,29
TG-040,24,WWD,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Yirranma_Place,SW-07,TRUE,4,7,8,3,8,8,5,7,8,4,8,9,4,8,9,3,8,9,3,7,8,2,7,8,2,3,4,2,4,4,3,4,4,2,4,5,5,8,9,5,8,9,475,14250,291,26
TG-041,24,WWD,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Yirranma_Place,SW-08,TRUE,2,6,8,3,6,7,5,7,8,3,7,8,4,6,7,2,7,8,2,6,7,2,6,7,2,3,4,2,3,4,2,3,4,2,3,4,4,6,8,4,6,8,460,13800,282,25
TG-042,25,WWD,2025-07-07,2026-01-07,TRUE,Employment_Darlo,FALSE,FALSE,Shelter_Referral,Yirranma_Place,SW-08,TRUE,3,7,9,2,8,9,4,7,8,2,8,9,3,8,9,2,8,9,2,7,8,1,7,8,1,3,4,2,3,4,2,4,4,2,4,5,4,8,9,4,8,9,510,15300,312,28
TG-043,25,WWD,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Yirranma_Place,SW-07,TRUE,4,6,8,3,7,8,6,6,7,4,7,8,5,6,8,4,7,8,3,6,7,2,6,7,2,3,4,2,3,4,3,4,4,2,4,5,5,7,8,5,7,8,495,14850,303,27
TG-044,25,WWD,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,TRUE,FALSE,Shelter_Referral,Yirranma_Place,SW-08,TRUE,2,8,9,1,9,9,3,8,9,1,9,10,2,9,10,1,9,10,1,8,9,1,8,9,1,2,3,1,2,4,1,3,4,1,3,5,3,9,10,3,9,10,540,16200,330,31
TG-045,25,WWD,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Yirranma_Place,SW-07,TRUE,3,5,7,2,6,8,5,6,7,3,6,8,4,6,7,3,7,8,2,5,7,2,5,7,2,3,4,2,3,4,2,3,4,2,3,4,4,6,8,4,6,8,470,14100,288,26
TG-046,26,WWD,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Yirranma_Place,SW-09,TRUE,3,6,,2,7,,5,6,,3,7,,4,7,,3,8,,3,6,,2,6,,2,3,,2,3,,3,4,,2,4,,4,7,,4,7,250,,153,12
TG-047,26,WWD,2026-01-05,,FALSE,,FALSE,TRUE,Community_Referral,Yirranma_Place,SW-09,TRUE,2,7,,1,8,,4,7,,2,8,,3,8,,2,9,,2,7,,1,7,,1,2,,1,2,,2,3,,1,3,,3,8,,3,8,245,,150,12
TG-048,26,WWD,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Yirranma_Place,SW-09,TRUE,4,7,,3,8,,6,7,,4,7,,5,8,,4,9,,4,7,,2,6,,2,3,,2,3,,3,4,,2,4,,4,7,,4,8,252,,154,12
TG-049,26,WWD,2026-01-05,,FALSE,,FALSE,FALSE,Shelter_Referral,Yirranma_Place,SW-09,TRUE,5,8,,4,8,,5,7,,5,8,,6,9,,5,9,,5,8,,3,7,,2,3,,3,3,,4,4,,2,4,,5,8,,5,8,258,,158,13
TG-050,26,WWD,2026-01-05,,FALSE,,FALSE,FALSE,Community_Referral,Yirranma_Place,SW-09,TRUE,3,6,,2,7,,4,6,,3,6,,4,7,,3,8,,3,6,,2,6,,2,3,,2,3,,3,3,,2,3,,4,6,,4,7,242,,148,11
